Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,TT,BMag,l_SFRa,SFRa,l_Pa,Pa,l_Fa,Fa,l_SFRu,SFRu,l_Pu,Pu,l_Fu,Fu
UGCA153,9,13,12.1,-,19,24,31,8,-16.78,,-1.42,,-0.35,,0.61,,-1.00,,0.07,,0.19
LV J0913+1937,9,13,39.0,+,19,37,8,10,-11.02,,0.00,,0.00,,0.00,,-3.36,,0.11,,-0.04
AGC198507,9,15,25.8,+,25,25,10,9,-13.22,,0.00,,0.00,,0.00,,-2.42,,0.18,,0.43
UGC04879,9,16,2.2,+,52,50,24,9,-11.94,,-4.44,,-1.29,,0.55,,-3.29,,-0.14,,-0.60
HIPASS J0916-23b,9,16,58.0,-,23,16,47,10,-14.69,,-2.66,,-0.65,,0.30,,-2.16,,-0.15,,-0.20
NGC2835,9,17,52.9,-,22,21,19,5,-19.70,,0.22,,0.16,,-0.75,,0.02,,-0.04,,-0.55
NGC2787,9,19,18.6,+,69,12,12,1,-18.47,,-2.21,,-2.26,,0.77,,-2.34,,-2.39,,0.90
LSBC D565-06,9,19,29.4,+,21,36,12,10,-12.66,<,-4.77,<,-1.95,>,1.64,,-3.40,,-0.58,,0.27
UGC04932,9,19,34.1,+,51,6,33,8,-16.60,,0.00,,0.00,,0.00,,-1.26,,0.19,,0.11
DDO062,9,21,27.5,-,22,30,2,8,-17.07,,-1.14,,-0.18,,0.60,,-0.95,,0.01,,0.41
AGC198508,9,22,57.0,+,24,56,48,10,-12.45,,0.00,,0.00,,0.00,,-2.40,,0.51,,-0.50
ESO565-003,9,23,9.9,-,20,10,3,10,-14.12,,-2.42,,-0.18,,-0.12,,-2.26,,-0.02,,-0.28
MCG +09-16-010,9,23,17.0,+,51,58,23,8,-13.20,,0.00,,0.00,,0.00,,-2.42,,0.08,,0.00
UGC04998,9,25,12.1,+,68,22,59,9,-14.86,,-2.40,,-0.97,,-0.43,,-2.55,,-1.12,,-0.28
LV J0926+3343,9,26,9.4,+,33,43,4,8,-13.75,,0.00,,0.00,,0.00,,-1.83,,0.45,,0.33
NGC2915,9,26,11.5,-,76,37,35,9,-16.06,,-1.42,,0.08,,0.09,,-1.26,,0.24,,-0.07
[CKT2009]d0926+70,9,26,27.9,+,70,30,24,10,-9.96,,0.00,,0.00,,0.00,,-4.18,,-0.28,,-0.05
KDG056,9,30,12.9,+,19,59,30,10,-12.92,,-4.42,,-1.70,,1.73,,-3.00,,-0.28,,0.31
NGC2903-HI-1,9,30,39.9,+,21,43,25,10,-11.68,,0.00,,0.00,,0.00,,-3.54,,-0.33,,0.09
NGC2903,9,32,9.6,+,21,30,2,4,-20.89,,0.28,,-0.40,,-0.71,,0.16,,-0.52,,-0.59
ESO373-007,9,32,45.4,-,33,14,44,10,-13.78,,0.00,,0.00,,0.00,,-2.73,,-0.36,,0.55
UGC05086,9,32,48.9,+,21,27,54,-3,-13.53,,-4.59,,-2.82,,0.00,<,-4.41,<,-2.64,,0.00
[CKT2009]d0934+70,9,34,3.7,+,70,12,57,-3,-9.63,,0.00,,0.00,,0.00,,-4.16,,-0.83,,0.00
CGCG 035-007,9,34,44.9,+,6,25,32,9,-15.56,,-1.98,,-0.32,,0.28,,-1.82,,-0.16,,0.12
LeoT,9,34,53.4,+,17,3,5,10,-6.73,<,-5.92,<,-0.73,>,1.68,,-5.69,,-0.50,,1.45
LV J0935-1348,9,35,21.6,-,13,48,52,9,-12.91,,0.00,,0.00,,0.00,,-2.77,,-0.05,,0.00
[CKT2009]d0939+71,9,39,15.9,+,71,18,42,10,-8.37,,0.00,,0.00,,0.00,,-5.79,,-1.25,,0.00
LV J0939-2507,9,39,35.0,-,25,7,35,10,-13.69,,-2.46,,-0.05,,-0.42,,0.00,,0.00,,0.00
KISSB023,9,40,12.7,+,29,35,29,10,-15.24,,0.00,,0.00,,0.00,,-1.37,,0.42,,-0.22
KUG 0937+480,9,40,19.6,+,47,46,38,9,-12.55,,0.00,,0.00,,0.00,,-2.71,,0.15,,0.00
KDG058,9,40,27.0,+,0,2,33,10,-13.05,,0.00,,0.00,,0.00,,-3.04,,-0.38,,0.00
HolmI,9,40,32.3,+,71,11,11,10,-14.49,,-2.25,,-0.12,,0.39,,-1.89,,0.24,,0.03
UGC05186,9,42,59.8,+,33,15,52,10,-13.39,,-4.01,,-1.48,,1.52,,-2.69,,-0.16,,0.20
[CKT2009]d0944+69,9,44,22.5,+,69,12,40,-3,-7.41,,0.00,,0.00,,0.00,<,-4.90,<,-0.68,,0.00
[CKT2009]d0944+71,9,44,34.4,+,71,28,57,-1,-11.09,,0.00,,0.00,,0.00,,-5.74,,-2.99,,1.36
IC0559,9,44,43.9,+,9,36,55,9,-15.01,,-2.12,,-0.24,,0.25,,-1.85,,0.03,,-0.02
F8D1,9,44,50.0,+,67,28,32,-3,-12.59,,-4.40,,-2.25,,0.73,<,-4.95,<,-2.80,>,1.28
UGC05209,9,45,4.2,+,32,14,18,10,-13.11,,-3.34,,-0.70,,0.62,,-2.82,,-0.18,,0.10
FM1,9,45,10.0,+,68,45,54,-3,-10.47,,-5.04,,-2.04,,1.29,<,-5.12,<,-2.12,>,1.37
NGC2976,9,47,15.6,+,67,54,49,7,-17.09,,-1.08,,-0.36,,-0.76,,-1.36,,-0.64,,-0.48
AGC191803,9,48,5.9,+,7,7,45,9,-14.48,,0.00,,0.00,,0.00,,-2.21,,-0.12,,0.31
KK77,9,50,10.0,+,67,30,24,-3,-12.03,,-5.02,,-2.65,,1.29,<,-4.86,<,-2.49,>,1.13
KK78,9,50,19.6,+,31,27,24,10,-11.67,,-3.14,,0.08,,0.63,,-2.88,,0.34,,0.37
DDO064,9,50,22.4,+,31,29,15,10,-14.90,,-1.67,,0.43,,0.04,,-1.49,,0.61,,-0.14
UGC05288,9,51,17.2,+,7,49,38,9,-14.75,,-1.78,,-0.04,,0.19,,-1.80,,-0.06,,0.21
NGC3037,9,51,24.0,-,27,0,40,8,-16.34,,-1.27,,0.17,,-0.29,,-1.43,,0.01,,-0.13
BK3N,9,53,48.5,+,68,58,9,10,-9.59,,-5.26,,-1.21,,2.65,,-3.52,,0.53,,0.91
LV J0954+3620,9,54,50.6,+,36,20,2,10,-13.05,,0.00,,0.00,,0.00,,-2.74,,-0.07,,0.07
KKSG15,9,55,10.5,-,6,16,12,10,-14.97,,-2.77,,-0.87,,0.67,,-2.31,,-0.41,,0.21
[CKT2009]d0955+70,9,55,13.6,+,70,24,29,-3,-9.11,,0.00,,0.00,,0.00,<,-4.74,<,-1.20,,0.00
MESSIER081,9,55,33.5,+,69,4,0,3,-20.92,,-0.01,,-0.80,,-0.42,,0.02,,-0.77,,-0.45
MESSIER082,9,55,53.9,+,69,40,57,8,-19.63,,0.19,,-0.25,,-1.11,,-0.96,,-1.40,,0.04
LV J0956-0929,9,56,37.6,-,9,29,11,9,-12.96,,-3.32,,-0.62,,0.25,,-3.21,,-0.51,,0.14
DDO068,9,56,45.7,+,28,49,30,10,-15.27,,-1.74,,0.23,,0.60,,-1.27,,0.70,,0.13
KDG061,9,57,2.7,+,68,35,30,-1,-12.85,,-3.20,,-1.16,,0.00,,-4.83,,-2.79,,0.00
ClumpI,9,57,21.2,+,68,42,55,10,-8.29,<,-4.88,<,-0.31,,0.00,<,-5.07,<,-0.50,,0.00
A0952+69,9,57,29.0,+,69,16,20,10,-11.51,,-3.22,,0.06,,0.35,,-2.97,,0.31,,0.10
HolmIX,9,57,32.4,+,69,2,35,10,-13.61,,-2.90,,-0.46,,1.43,,-2.08,,0.36,,0.61
[CKT2009]d0958+66,9,58,48.5,+,66,50,59,9,-12.29,,0.00,,0.00,,0.00,,-3.33,,-0.36,,-0.62
LeoA,9,59,26.4,+,30,44,47,10,-11.70,,-4.03,,-0.83,,1.20,,-3.22,,-0.02,,0.39
[CKT2009]d0959+68,9,59,33.1,+,68,39,25,10,-10.10,,-3.83,,0.01,,0.00,,-3.80,,0.04,,0.00
KKSG16,9,59,47.5,-,9,20,36,-3,-12.24,,0.00,,0.00,,0.00,<,-4.21,<,-1.92,>,1.37
SexB,10,0,0.1,+,5,19,56,10,-13.95,,-2.93,,-0.57,,0.72,,-2.42,,-0.06,,0.21
KKH57,10,0,16.0,+,63,11,6,-3,-10.18,,-4.97,,-1.86,,0.62,<,-5.17,<,-2.06,>,0.82
LV J1000+3032,10,0,36.5,+,30,32,10,10,-11.28,,0.00,,0.00,,0.00,,-3.39,,-0.02,,-0.15
ClumpIII,10,0,40.4,+,68,39,37,10,-8.29,,-4.18,,0.39,,0.00,<,-5.07,<,-0.50,,0.00
MCG -01-26-009,10,1,33.6,-,6,31,30,10,-13.98,,-2.31,,-0.02,,0.15,,-2.32,,-0.03,,0.16
KKSG17,10,1,38.4,-,8,14,56,10,-14.78,,-3.11,,-1.14,,0.96,,-2.42,,-0.45,,0.27
UGCA193,10,2,36.2,-,6,0,43,7,-15.83,,-1.87,,-0.24,,0.55,,-1.45,,0.18,,0.13
NGC3109,10,3,7.2,-,26,9,36,8,-15.73,,-1.77,,-0.21,,0.27,,-1.38,,0.18,,-0.12
NGC3077,10,3,21.0,+,68,44,2,9,-17.60,,-1.07,,-0.49,,-0.01,,-1.49,,-0.91,,0.41
GARLAND,10,3,42.0,+,68,41,36,10,-11.40,,-2.17,,1.15,,-0.16,,-2.64,,0.68,,0.31
ESO499-038,10,3,50.2,-,26,36,46,10,-15.54,,0.00,,0.00,,0.00,,-1.34,,0.33,,0.20
NGC3104,10,3,57.4,+,40,45,25,8,-17.19,,-0.77,,0.14,,-0.06,,-0.53,,0.38,,-0.30
Antlia,10,4,4.0,-,27,19,55,10,-9.75,,0.00,,0.00,,0.00,,-3.56,,0.11,,-0.39
BK5N,10,4,40.3,+,68,15,20,-3,-10.61,,-5.11,,-2.17,,0.00,,-5.38,,-2.44,,0.00
UGC05427,10,4,41.0,+,29,21,59,8,-14.48,,-2.32,,-0.32,,-0.08,,-1.99,,0.01,,-0.41
KDG063,10,5,7.3,+,66,33,18,-3,-12.12,,-4.17,,-1.83,,1.21,<,-5.02,<,-2.68,>,2.06
NGC3115,10,5,14.0,-,7,43,7,-1,-20.77,<,-4.00,<,-4.82,>,2.88,,-1.14,,-1.96,,0.02
UGC05423,10,5,30.6,+,70,21,52,10,-15.62,,-1.86,,-0.13,,-0.17,,-1.97,,-0.24,,-0.06
KDG065,10,5,34.4,-,7,44,57,-3,-13.60,,0.00,,0.00,,0.00,,-4.49,,-2.75,,0.00
KKSG18,10,5,41.6,-,7,58,53,9,-16.55,,0.00,,0.00,,0.00,,-2.83,,-1.97,,0.00
[CKT2009]d1006+67,10,6,46.2,+,67,12,4,-3,-8.55,,0.00,,0.00,,0.00,<,-5.01,<,-1.24,,0.00
KDG064,10,7,1.9,+,67,49,39,-3,-12.57,,-4.45,,-2.29,,0.00,,-5.52,,-3.36,,0.00
UGC05456,10,7,19.7,+,10,21,44,9,-15.08,,-1.80,,0.18,,-0.36,,-1.71,,0.27,,-0.45
KKH58,10,7,22.7,+,38,58,11,8,-15.79,,-1.11,,0.36,,-0.29,,-1.20,,0.27,,-0.20
IKN,10,8,5.9,+,68,23,57,-3,-11.63,,-4.91,,-2.38,,1.24,<,-5.07,<,-2.54,>,1.40
[CKT2009]d1009+70,10,9,34.9,+,70,32,55,-1,-12.36,,0.00,,0.00,,0.00,,-3.29,,-1.05,,0.00
SexA,10,11,0.8,-,4,41,34,10,-13.93,,-2.41,,0.24,,0.36,,-2.00,,0.65,,-0.05
UGC05497,10,12,48.4,+,64,6,27,9,-12.32,,0.00,,0.00,,0.00,,-3.23,,-0.27,,-0.62
SexDSph,10,13,3.0,-,1,36,52,-3,-8.68,,0.00,,0.00,,0.00,,-7.77,,-4.06,,0.20
[CKT2009]d1014+68,10,14,55.8,+,68,45,27,-1,-8.30,,0.00,,0.00,,0.00,,-4.58,,-0.72,,0.55
[CKT2009]d1015+69,10,15,6.9,+,69,2,15,-1,-7.76,,0.00,,0.00,,0.00,,-5.39,,-1.31,,0.00
KUG 1013+414,10,16,15.6,+,41,9,59,8,-14.91,,0.00,,0.00,,0.00,,-2.37,,-0.55,,0.00
NGC3184,10,18,17.0,+,41,25,28,6,-19.99,,-0.02,,-0.40,,-0.57,,-0.05,,-0.43,,-0.54
LV J1018+4109,10,18,22.2,+,41,9,57,-1,-11.89,,0.00,,0.00,,0.00,<,-4.28,<,-1.85,,0.00
HS117,10,21,25.2,+,71,6,58,10,-11.18,,-4.82,,-1.41,,-0.04,,-4.32,,-0.91,,-0.54
LV J1021+0054,10,21,38.9,+,0,54,0,10,-11.88,,0.00,,0.00,,0.00,,-2.78,,0.35,,-0.06
AGC731448,10,23,45.0,+,27,6,39,9,-14.17,,0.00,,0.00,,0.00,,-2.25,,-0.03,,-0.01
KKSG19,10,24,28.3,-,12,25,57,10,-12.05,,0.00,,0.00,,0.00,<,-4.77,<,-1.71,>,2.11
NGC3239,10,25,4.9,+,17,9,49,8,-18.09,,-0.47,,0.15,,-0.51,,-0.40,,0.22,,-0.58
DDO078,10,26,27.9,+,67,39,24,-3,-11.47,,-5.01,,-2.41,,0.00,,-4.76,,-2.16,,0.00
UGC05672,10,28,20.9,+,22,34,17,8,-15.73,,-1.96,,-0.63,,0.40,,-1.98,,-0.65,,0.42
IC2574,10,28,22.4,+,68,24,58,8,-17.49,,-0.98,,-0.19,,0.17,,-0.78,,0.01,,-0.03
LV J1028+4240,10,28,33.0,+,42,40,8,10,-12.03,,0.00,,0.00,,0.00,,-2.67,,0.40,,0.00
[CKT2009]d1028+70,10,28,39.7,+,70,14,1,10,-11.98,,0.00,,0.00,,0.00,,-3.18,,-0.09,,-0.53
AGC749315,10,29,6.4,+,26,54,38,9,-12.66,,0.00,,0.00,,0.00,,-2.46,,0.36,,0.16
DDO082,10,30,35.0,+,70,37,10,9,-14.71,,-2.54,,-0.81,,-1.27,,-2.58,,-0.85,,-1.23
LV J1030+0607,10,30,44.3,+,6,7,38,10,-12.77,,0.00,,0.00,,0.00,,-2.73,,0.05,,0.02
AGC205156,10,30,52.9,+,12,26,48,9,-11.62,,0.00,,0.00,,0.00,,-3.28,,-0.04,,0.27
AGC731457,10,31,55.8,+,28,1,33,10,-13.14,,0.00,,0.00,,0.00,,-2.44,,0.19,,-0.34
NGC3274,10,32,17.1,+,27,40,7,7,-16.65,,-1.06,,0.25,,-0.05,,-0.94,,0.37,,-0.17
BK6N,10,34,31.9,+,66,0,42,-3,-11.08,,-4.99,,-2.24,,0.00,<,-5.21,<,-2.46,,0.00
UMa I,10,34,52.8,+,51,55,12,-3,-4.79,,0.00,,0.00,,0.00,<,-8.36,<,-3.09,>,2.29
AGC202248,10,34,56.1,+,11,29,32,10,-12.67,,0.00,,0.00,,0.00,,-2.79,,0.03,,0.10
ESO501-023,10,35,23.2,-,24,45,15,8,-16.31,,0.00,,0.00,,0.00,,-1.20,,0.06,,-0.14
KUG 1033+366B,10,36,17.6,+,36,25,31,9,-12.62,,0.00,,0.00,,0.00,,-2.74,,0.10,,0.00
NGC3299,10,36,23.8,+,12,42,27,8,-16.98,,-1.42,,-0.25,,-0.38,,-1.63,,-0.46,,-0.17
DDO083,10,36,43.3,+,31,32,48,10,-14.94,,-1.86,,0.25,,0.55,,-1.59,,0.52,,0.28
AGC205165,10,37,4.8,+,15,20,15,9,-13.85,,0.00,,0.00,,0.00,,-2.62,,-0.27,,-0.38
AGC208397,10,38,58.1,+,3,52,27,10,-12.56,,0.00,,0.00,,0.00,,-2.60,,0.26,,0.56
UGC05797,10,39,25.2,+,1,43,7,9,-15.09,,-2.49,,-0.64,,0.27,,-2.27,,-0.42,,0.05
LeG04,10,39,40.2,+,12,44,6,10,-11.51,,0.00,,0.00,,0.00,<,-4.29,<,-1.01,>,1.35
LeG05,10,39,43.3,+,12,38,4,10,-13.43,,0.00,,0.00,,0.00,,-3.39,,-0.88,,-0.17
LeG06,10,39,55.7,+,13,54,28,10,-11.94,,0.00,,0.00,,0.00,,-3.55,,-0.44,,0.53
AGC208399,10,40,10.7,+,4,54,32,10,-11.72,<,-2.77,<,0.43,>,0.94,<,-3.69,<,-0.49,>,1.86
UGC05812,10,40,56.6,+,12,28,19,8,-14.69,,0.00,,0.00,,0.00,,-2.26,,-0.35,,-0.01
[CKT2009]d1041+70,10,41,16.8,+,70,9,3,10,-8.65,,0.00,,0.00,,0.00,<,-5.01,<,-0.59,>,0.42
FS04,10,42,0.3,+,12,20,6,8,-14.50,,0.00,,0.00,,0.00,,-2.56,,-0.57,,0.15
LeG09,10,42,34.6,+,12,9,2,-2,-11.70,,0.00,,0.00,,0.00,<,-4.30,<,-1.79,>,1.52
DDO084,10,42,41.9,+,34,26,56,8,-15.94,,-1.25,,0.22,,0.17,,-0.97,,0.50,,-0.11
AGC205268,10,42,52.4,+,13,44,28,9,-12.82,,0.00,,0.00,,0.00,,-3.19,,-0.43,,1.35
NGC3344,10,43,30.2,+,24,55,25,4,-18.94,,-0.40,,-0.28,,-0.34,,-0.44,,-0.32,,-0.30
LeG10,10,43,55.4,+,12,8,7,10,-11.00,,0.00,,0.00,,0.00,,-4.47,,-0.98,,1.69
NGC3351,10,43,57.7,+,11,42,13,3,-19.81,,-0.17,,-0.70,,-0.76,,-0.32,,-0.85,,-0.61
LeG11,10,44,2.1,+,15,35,20,10,-11.43,,0.00,,0.00,,0.00,<,-4.28,<,-0.97,>,1.66
LeG12,10,44,7.8,+,11,31,59,10,-11.72,,0.00,,0.00,,0.00,,-3.51,,-0.31,,1.05
AGC205445,10,44,35.3,+,13,56,23,-1,-13.83,,0.00,,0.00,,0.00,,-3.77,,-2.12,,0.00
LeG13,10,44,57.6,+,11,54,58,10,-12.76,<,-3.60,<,-0.82,>,0.48,,-3.00,,-0.22,,-0.12
LeG14,10,46,14.4,+,12,57,36,-3,-11.49,,0.00,,0.00,,0.00,<,-4.31,<,-1.72,>,1.50
KK93,10,46,24.8,+,14,1,30,-3,-12.22,,0.00,,0.00,,0.00,<,-4.29,<,-1.99,>,1.51
LeG16,10,46,30.0,+,11,45,21,-2,-11.20,,0.00,,0.00,,0.00,<,-4.30,<,-1.59,,0.00
NGC3368,10,46,45.8,+,11,49,11,3,-20.40,,-0.36,,-1.06,,-0.33,,-0.54,,-1.24,,-0.15
LeG18,10,46,53.3,+,12,44,40,10,-11.29,,0.00,,0.00,,0.00,,-4.37,,-1.00,,1.65
LeG19,10,46,54.8,+,12,47,17,-1,-12.39,,0.00,,0.00,,0.00,<,-4.43,<,-2.20,,0.00
KK94,10,46,57.3,+,12,59,54,10,-12.72,,0.00,,0.00,,0.00,,-4.33,,-1.53,,2.15
LeG21,10,47,0.8,+,12,57,35,10,-11.62,,0.00,,0.00,,0.00,,-4.17,,-0.93,,1.39
DDO088,10,47,22.3,+,14,4,13,9,-15.20,,-2.22,,-0.41,,0.22,,-1.96,,-0.15,,-0.04
ESO318-013,10,47,41.9,-,38,51,15,8,-14.42,,0.00,,0.00,,0.00,,-2.10,,-0.09,,0.24
NGC3377,10,47,42.4,+,13,59,8,-2,-19.10,,0.00,,0.00,,0.00,,-2.25,,-2.53,,0.00
NGC3379,10,47,49.6,+,12,34,54,-3,-20.10,,-3.11,,-3.87,,0.00,,0.00,,0.00,,0.00
UGC05923,10,49,7.6,+,6,55,2,7,-17.67,,-1.17,,-0.47,,-0.13,,-1.27,,-0.57,,-0.03
Willman1,10,49,21.0,+,51,3,0,-2,-1.92,,0.00,,0.00,,0.00,,-8.51,,-2.09,,1.60
DDO087,10,49,36.5,+,65,31,50,10,-14.28,,-2.48,,-0.66,,0.85,,-2.01,,-0.19,,0.38
LeG22,10,49,37.1,+,11,21,6,10,-12.22,,0.00,,0.00,,0.00,<,-4.29,<,-1.29,,0.00
LeG23,10,50,9.1,+,13,29,1,10,-11.13,,0.00,,0.00,,0.00,,-3.69,,-0.26,,0.00
UGC05944,10,50,19.1,+,13,16,19,-1,-14.75,,0.00,,0.00,,0.00,,-4.38,,-2.85,,0.00
KK96,10,50,27.1,+,12,21,39,-3,-11.90,,0.00,,0.00,,0.00,,-4.37,,-1.94,,0.00
NGC3412,10,50,53.3,+,13,24,44,-1,-18.77,,-1.51,,-1.66,,-0.55,,-2.47,,-2.62,,0.41
NGC3413,10,51,20.7,+,32,45,59,8,-17.46,,0.00,,0.00,,0.00,,-1.04,,-0.24,,0.00
LeG26,10,51,21.1,+,12,50,57,-2,-13.29,,0.00,,0.00,,0.00,,-3.76,,-1.89,,1.30
AGC205540,10,51,31.4,+,14,6,53,10,-12.23,,0.00,,0.00,,0.00,,-4.65,,-1.66,,2.31
KKH65,10,51,59.1,+,28,21,45,-2,-12.68,,0.00,,0.00,,0.00,<,-4.36,<,-2.25,,0.00
AGC205544,10,52,4.8,+,15,1,50,-1,-13.08,,0.00,,0.00,,0.00,<,-4.32,<,-2.37,>,1.86
LV J1052+3628,10,52,5.5,+,36,28,36,10,-11.98,,0.00,,0.00,,0.00,,-2.93,,0.16,,0.00
UGC05983,10,52,17.5,+,36,35,36,10,-13.88,,0.00,,0.00,,0.00,,-3.39,,-1.06,,0.00
AGC202456,10,52,19.5,+,11,2,36,-1,-13.99,,0.00,,0.00,,0.00,<,-4.31,<,-2.72,>,1.85
LeG27,10,52,20.1,+,14,42,26,-2,-11.58,,0.00,,0.00,,0.00,,-3.92,,-1.37,,0.00
NGC3432,10,52,31.1,+,36,37,8,8,-18.98,,-0.25,,0.24,,-0.10,,0.00,,0.49,,-0.35
LV J1052+3639,10,52,40.8,+,36,39,54,10,-14.08,,0.00,,0.00,,0.00,,-2.01,,0.24,,0.00
KDG073,10,52,57.1,+,69,32,45,10,-10.76,,-4.77,,-1.19,,1.41,,-3.61,,-0.03,,0.25
LeG28,10,53,0.7,+,10,22,45,10,-11.90,,0.00,,0.00,,0.00,<,-4.30,<,-1.17,,0.00
UGC06014,10,53,42.7,+,9,43,41,9,-15.26,,0.00,,0.00,,0.00,,-1.96,,-0.18,,-0.11
LSBC D640-12,10,55,57.1,+,12,20,20,10,-11.77,,0.00,,0.00,,0.00,,-3.80,,-0.62,,0.34
LSBC D640-13,10,56,14.0,+,12,0,37,10,-13.27,,0.00,,0.00,,0.00,,-2.29,,0.29,,0.05
HS1053+3624,10,56,40.4,+,36,8,28,10,-12.14,,0.00,,0.00,,0.00,,-2.54,,0.49,,0.00
ESO215-009,10,57,30.2,-,48,10,44,10,-13.52,,0.00,,0.00,,0.00,,-2.73,,-0.34,,1.68
VV747,10,57,47.0,+,36,15,39,10,-14.41,,0.00,,0.00,,0.00,,-1.85,,0.27,,0.00
LSBC D640-14,10,58,10.5,+,11,59,57,-2,-11.66,,0.00,,0.00,,0.00,,-4.30,,-1.78,,0.00
AGC205278,10,58,52.1,+,14,7,46,10,-12.87,,0.00,,0.00,,0.00,,-3.33,,-0.59,,0.41
NGC3489,11,0,18.6,+,13,54,4,1,-19.46,,-1.74,,-2.14,,-0.77,,-1.62,,-2.02,,-0.89
LeG33,11,0,45.2,+,14,10,20,10,-11.57,,0.00,,0.00,,0.00,,-4.64,,-1.38,,0.00
LSBC D640-08,11,0,52.1,+,13,52,51,-3,-13.20,,0.00,,0.00,,0.00,,-4.59,,-2.68,,0.00
CGCG 066-109,11,4,26.5,+,11,45,18,10,-13.95,,-2.44,,-0.13,,0.22,,-2.23,,0.08,,0.01
KKSG20,11,4,40.6,+,0,3,30,10,-12.80,,0.00,,0.00,,0.00,,-3.88,,-1.11,,0.19
MRK0036,11,4,58.5,+,29,8,22,9,-14.04,,-1.37,,1.24,,-1.13,,-1.67,,0.94,,-0.83
UGC06145,11,5,35.0,-,1,51,49,10,-13.94,<,-3.07,<,-0.76,>,1.18,,-2.35,,-0.04,,0.46
NGC3521sat,11,5,40.7,+,0,7,15,-1,-14.17,,0.00,,0.00,,0.00,<,-4.19,<,-2.67,,0.00
NGC3521,11,5,48.6,-,0,2,9,4,-21.22,,0.50,,-0.45,,-0.71,,0.12,,-0.83,,-0.33
KKSG22,11,6,7.7,-,1,26,55,10,-12.15,,0.00,,0.00,,0.00,<,-4.21,<,-1.18,>,1.45
NGC3556,11,11,31.0,+,55,40,26,6,-20.22,,-0.04,,-0.42,,-0.41,,0.10,,-0.28,,-0.55
DDO092,11,13,26.1,+,53,35,42,9,-14.43,,-1.76,,0.35,,0.21,,-1.61,,0.50,,0.06
LeoII,11,13,29.2,+,22,9,17,-3,-9.07,,0.00,,0.00,,0.00,,-7.43,,-3.87,,1.59
NGC3593,11,14,35.9,+,12,49,7,1,-18.85,,-0.55,,-0.84,,-0.99,,-1.55,,-1.84,,0.01
AGC202256,11,14,45.0,+,12,38,51,10,-13.59,,0.00,,0.00,,0.00,,-2.74,,-0.29,,0.12
IC2684,11,17,1.0,+,13,5,59,10,-14.03,,0.00,,0.00,,0.00,,-2.83,,-0.56,,0.12
NGC3621,11,18,16.1,-,32,48,42,7,-19.79,,0.26,,0.04,,-0.50,,0.11,,-0.11,,-0.35
AGC215354,11,19,15.9,+,14,17,25,9,-12.79,,0.00,,0.00,,0.00,,-3.45,,-0.68,,0.99
NGC3627,11,20,15.0,+,12,59,29,4,-21.14,,0.36,,-0.51,,-1.22,,0.19,,-0.68,,-1.05
AGC213436,11,22,24.0,+,12,58,46,-1,-13.47,,0.00,,0.00,,0.00,,-3.98,,-2.18,,0.00
KKH67,11,23,3.5,+,21,19,37,-2,-11.70,,0.00,,0.00,,0.00,<,-4.34,<,-1.84,,0.00
IC2787,11,23,19.1,+,13,37,47,9,-14.49,<,-4.57,<,-2.48,>,1.97,,0.00,,0.00,,0.00
IC2791,11,23,37.6,+,12,53,45,9,-13.27,,0.00,,0.00,,0.00,,-3.12,,-0.54,,-0.05
UGC06456,11,28,0.6,+,78,59,29,10,-14.08,,-1.84,,0.70,,-0.26,,-1.94,,0.60,,-0.16
KDG078,11,29,54.0,+,52,24,14,10,-13.14,,0.00,,0.00,,0.00,<,-4.46,<,-1.83,>,1.34
LeoV,11,31,9.6,+,2,13,12,-3,-3.77,,0.00,,0.00,,0.00,<,-7.83,<,-2.15,>,0.84
LeoIV,11,32,57.0,-,0,32,0,-3,-4.20,<,-7.16,<,-1.66,>,0.07,,-7.86,,-2.36,,0.77
UGC06541,11,33,29.1,+,49,14,17,10,-13.59,,-2.05,,0.33,,-0.85,,-2.18,,0.20,,-0.72
NGC3738,11,35,48.6,+,54,31,22,9,-16.65,,-1.43,,-0.14,,-0.44,,-1.33,,-0.04,,-0.54
NGC3741,11,36,6.4,+,45,17,7,9,-13.13,,-2.44,,0.32,,0.45,,-2.31,,0.45,,0.32
ESO320-014,11,37,53.4,-,39,13,14,10,-13.69,,0.00,,0.00,,0.00,,-2.69,,-0.29,,0.15
UGC06757,11,46,59.1,+,61,20,6,10,-11.02,,0.00,,0.00,,0.00,,-3.48,,0.00,,0.00
KK109,11,47,11.2,+,43,40,19,10,-10.25,,-5.39,,-1.61,,2.06,,-4.12,,-0.34,,0.79
DDO097,11,48,57.2,+,23,50,16,10,-15.70,,-1.93,,-0.33,,0.48,,-1.67,,-0.07,,0.22
KKH73,11,50,6.4,+,55,47,0,10,-12.51,,0.00,,0.00,,0.00,<,-4.48,<,-1.60,>,1.59
DDO099,11,50,53.0,+,38,52,50,10,-13.52,,-2.64,,0.08,,0.51,,-2.29,,0.43,,0.16
ESO379-007,11,54,43.0,-,33,33,29,10,-12.31,,-3.65,,-0.83,,1.29,,0.00,,0.00,,0.00
UGC06881,11,54,44.7,+,20,3,20,10,-15.32,,0.00,,0.00,,0.00,,-1.74,,0.01,,0.14
MCG +05-28-046,11,55,23.5,+,28,20,24,9,-13.13,,0.00,,0.00,,0.00,,-2.61,,0.02,,0.00
